TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Old_Timers,6,BIG_CREEK,61,5,0.00,0.00,0.00,0.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,5,70.00,63.99,58.00,63.99
Arrow,1,Old_Timers,6,MOHAVE_2,63,5,70.00,63.99,58.00,63.99
Arrow,1,Old_Timers,6,HIGHGROVE,64,5,67.01,67.01,67.01,67.01
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,5,72.84,72.84,72.84,72.84
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,5,57.58,57.58,57.58,57.58
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,5,52.97,52.97,52.97,52.97
Becker,2,Big_Gas,2,LONG_BEACH,23,5,67.75,67.75,67.75,67.75
Becker,2,Big_Gas,2,NORTH_ISLAND,24,5,84.75,84.75,84.75,84.75
Becker,2,Big_Gas,2,ENCINA,25,5,100.00,53.92,100.00,53.92
Becker,2,Big_Gas,2,KEARNY,26,5,116.56,116.56,116.56,116.56
Becker,2,Big_Gas,2,SOUTH_BAY,27,5,100.00,100.00,100.00,100.00
Coase,3,Big_Coal,1,Four Corners,11,5,201.50,201.50,210.00,201.50
Coase,3,Big_Coal,1,ALAMITOS_7,12,5,201.22,201.22,201.22,201.22
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,5,109.50,109.50,109.50,109.50
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_5,14,5,182.00,182.00,182.00,182.00
Coase,3,Big_Coal,1,REDONDO_5-6,15,5,115.00,123.80,113.94,123.80
Coase,3,Big_Coal,1,REDONDO_7-8,16,5,115.00,123.80,113.94,123.80
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,5,52.94,52.94,52.94,52.94
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,5,47.36,47.36,47.36,47.36
Debreu,4,East_Bay,5,PITTSBURG_7,53,5,77.22,77.22,77.22,77.22
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,5,75.28,75.28,75.28,75.28
Debreu,4,East_Bay,5,CONTRA_COSTA_6-7,55,5,51.00,51.00,51.00,51.00
Debreu,4,East_Bay,5,POTRERO_HILL,56,5,90.33,90.33,90.33,90.33
Friedman,5,Low_Fossil,7,HUMBOLDT,71,5,129.94,129.94,129.94,129.94
Friedman,5,Low_Fossil,7,HELMS,72,5,0.50,0.50,0.50,0.50
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,5,133.17,133.17,133.17,133.17
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,5,207.89,207.89,207.89,207.89
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,5,11.50,11.50,11.50,11.50
Heckman,6,Beachfront,4,COOLWATER,41,5,73.75,73.75,73.75,73.75
Heckman,6,Beachfront,4,ETIWANDA_1-4,42,5,74.03,74.03,74.03,74.03
Heckman,6,Beachfront,4,ETIWANDA_5,43,5,101.61,101.61,101.61,101.61
Heckman,6,Beachfront,4,ELLWOOD,44,5,119.77,119.77,119.77,119.77
Heckman,6,Beachfront,4,MANDALAY_1-2,45,5,68.82,68.82,68.82,68.82
Heckman,6,Beachfront,4,MANDALAY_3,46,5,86.94,86.94,86.94,86.94
Heckman,6,Beachfront,4,ORMOND_BEACH_1,47,5,67.82,67.82,67.82,67.82
Heckman,6,Beachfront,4,ORMOND_BEACH_2,48,5,67.82,67.82,67.82,67.82
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,5,52.28,52.28,52.28,52.28
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,5,49.51,49.51,49.51,49.51
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,5,43.66,43.66,43.66,43.66
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,5,43.66,43.66,43.66,43.66
Krugman,7,Bay_Views,3,OAKLAND,35,5,82.77,82.77,82.77,82.77
Arrow,1,Old_Timers,6,BIG_CREEK,61,4,0.00,0.00,0.00,0.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,4,140.00,140.00,34.50,140.00
Arrow,1,Old_Timers,6,MOHAVE_2,63,4,140.00,140.00,34.50,140.00
Arrow,1,Old_Timers,6,HIGHGROVE,64,4,140.00,140.00,140.00,140.00
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,4,140.00,140.00,140.00,140.00
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,4,44.83,44.83,44.83,44.83
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,4,41.22,41.22,41.22,41.22
Becker,2,Big_Gas,2,LONG_BEACH,23,4,52.50,52.50,70.00,52.50
Becker,2,Big_Gas,2,NORTH_ISLAND,24,4,65.50,65.50,65.50,65.50
Becker,2,Big_Gas,2,ENCINA,25,4,41.67,47.43,69.82,47.43
Becker,2,Big_Gas,2,KEARNY,26,4,90.06,90.06,90.06,90.06
Becker,2,Big_Gas,2,SOUTH_BAY,27,4,43.83,43.83,43.83,43.83
Coase,3,Big_Coal,1,Four Corners,11,4,124.50,165.00,200.00,124.50
Coase,3,Big_Coal,1,ALAMITOS_7,12,4,141.72,125.00,116.22,116.22
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,4,63.50,63.50,63.50,63.50
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_5,14,4,128.10,125.00,105.00,105.00
Coase,3,Big_Coal,1,REDONDO_5-6,15,4,91.44,65.94,65.94,83.00
Coase,3,Big_Coal,1,REDONDO_7-8,16,4,84.63,65.94,65.94,70.33
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,4,48.49,48.49,48.49,48.49
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,4,43.38,43.38,43.38,43.38
Debreu,4,East_Bay,5,PITTSBURG_7,53,4,129.72,129.72,129.72,129.72
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,4,126.28,126.28,126.28,126.28
Debreu,4,East_Bay,5,CONTRA_COSTA_6-7,55,4,46.74,46.74,46.74,46.74
Debreu,4,East_Bay,5,POTRERO_HILL,56,4,151.83,151.83,151.83,151.83
Friedman,5,Low_Fossil,7,HUMBOLDT,71,4,64.21,64.21,64.21,64.21
Friedman,5,Low_Fossil,7,HELMS,72,4,0.50,0.50,0.50,0.50
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,4,65.94,65.94,65.94,65.94
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,4,75.89,75.89,75.89,75.89
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,4,11.50,11.50,11.50,11.50
Heckman,6,Beachfront,4,COOLWATER,41,4,61.99,61.99,61.99,61.99
Heckman,6,Beachfront,4,ETIWANDA_1-4,42,4,62.27,62.27,62.27,62.27
Heckman,6,Beachfront,4,ETIWANDA_5,43,4,91.69,91.69,91.69,91.69
Heckman,6,Beachfront,4,ELLWOOD,44,4,111.21,111.21,111.21,111.21
Heckman,6,Beachfront,4,MANDALAY_1-2,45,4,56.66,56.66,56.66,56.66
Heckman,6,Beachfront,4,MANDALAY_3,46,4,76.06,76.06,76.06,76.06
Heckman,6,Beachfront,4,ORMOND_BEACH_1,47,4,55.66,55.66,55.66,55.66
Heckman,6,Beachfront,4,ORMOND_BEACH_2,48,4,55.66,55.66,55.66,55.66
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,4,38.78,38.78,47.43,43.80
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,4,36.61,36.61,36.61,36.61
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,4,32.56,32.56,32.56,32.56
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,4,32.56,32.56,32.56,32.56
Krugman,7,Bay_Views,3,OAKLAND,35,4,61.17,61.17,61.17,61.17
Arrow,1,Old_Timers,6,BIG_CREEK,61,3,41.93,42.38,43.82,41.93
Arrow,1,Old_Timers,6,MOHAVE_1,62,3,41.93,42.38,44.82,41.93
Arrow,1,Old_Timers,6,MOHAVE_2,63,3,41.93,42.38,44.82,41.93
Arrow,1,Old_Timers,6,HIGHGROVE,64,3,49.61,49.61,49.61,49.61
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,3,53.94,53.94,53.94,53.94
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,3,44.83,59.70,60.00,44.83
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,3,41.22,41.22,41.22,41.22
Becker,2,Big_Gas,2,LONG_BEACH,23,3,52.50,60.00,60.00,52.50
Becker,2,Big_Gas,2,NORTH_ISLAND,24,3,65.50,65.50,65.50,65.50
Becker,2,Big_Gas,2,ENCINA,25,3,41.67,47.43,41.67,41.67
Becker,2,Big_Gas,2,KEARNY,26,3,90.06,90.06,90.06,90.06
Becker,2,Big_Gas,2,SOUTH_BAY,27,3,43.83,59.69,59.69,43.83
Coase,3,Big_Coal,1,Four Corners,11,3,36.50,36.50,36.50,36.50
